model_id,canonical_family_id,domain,cue_type,canonical_answer,S_lp,S_lp_binary,primary_monitor_score,monitor_layer,monitor_site,entropy_score,source_experiment_ids,primary_monitor_score_null_reason,monitor_layer_null_reason,monitor_site_null_reason,entropy_score_null_reason
qwen2p5_7b_instruct,CM_B_UM_025,electrostatics_circuits,nongoverning_distractor,6.0 V,1.65625,1,0.529220991438338,18,resid_post_last_prompt,1.0447959182262283,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_026,electrostatics_circuits,nongoverning_distractor,5.0 V,0.0,0,0.419589042850874,18,resid_post_last_prompt,0.7597706458702994,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_027,mechanics,nongoverning_distractor,6.0 N*m,0.71875,1,0.13134014863268673,18,resid_post_last_prompt,0.49439917272603473,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_028,mechanics,nongoverning_distractor,15.0 N*m,0.0,0,0.2290158332185609,18,resid_post_last_prompt,0.3528621809573817,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_029,mechanics,nongoverning_distractor,10.0 N*m,0.0,0,0.29490719321439357,18,resid_post_last_prompt,0.47784152135540714,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_030,mechanics,nongoverning_distractor,12.0 N*m,0.3125,0,0.2612668133646454,18,resid_post_last_prompt,0.4031393832220904,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_031,mechanics,nongoverning_distractor,10.0 N*m,0.0,0,0.26462703560340395,18,resid_post_last_prompt,3.2689384916673925,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_032,mechanics,nongoverning_distractor,1.592 Hz,5.5625,1,0.6833962785227542,18,resid_post_last_prompt,2.7610750001131805,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_033,mechanics,nongoverning_distractor,0.498 Hz,4.53125,1,0.5271179957642431,18,resid_post_last_prompt,1.6115163242366644,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_034,mechanics,nongoverning_distractor,1.592 Hz,2.15625,1,0.7146675868366483,18,resid_post_last_prompt,3.9494100009328923,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_035,mechanics,nongoverning_distractor,0.997 Hz,0.0,0,0.8320171904938415,18,resid_post_last_prompt,1.7012739008584676,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_036,mechanics,nongoverning_distractor,20.0 Hz,0.0,0,0.6978640021349016,18,resid_post_last_prompt,0.7387169253824889,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_037,electrostatics_circuits,nongoverning_distractor,3.0e-4 C,0.0,0,0.5302847199286628,18,resid_post_last_prompt,0.7791769370423832,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_038,electrostatics_circuits,nongoverning_distractor,9.0e-4 C,1.8125,1,0.44319049977852126,18,resid_post_last_prompt,0.7620692302663519,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_039,electrostatics_circuits,nongoverning_distractor,6.0e-4 C,0.375,0,0.5235661301303886,18,resid_post_last_prompt,1.2106098347010898,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_040,electrostatics_circuits,nongoverning_distractor,5.0e-5 C,0.75,1,0.3835039912490346,18,resid_post_last_prompt,0.3347544575879461,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_041,mechanics,nongoverning_distractor,10.0 m/s,0.203125,0,0.9975539414253973,18,resid_post_last_prompt,0.366912089200086,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_042,mechanics,nongoverning_distractor,15.0 m/s,0.0,0,0.3444058992187392,18,resid_post_last_prompt,0.5148401934626778,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_043,mechanics,nongoverning_distractor,4.0 m/s,1.71875,1,0.6622708017041706,18,resid_post_last_prompt,0.7114524234137164,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_044,mechanics,nongoverning_distractor,10.0 m/s,0.140625,0,1.413832628971705e-05,18,resid_post_last_prompt,0.10510643786776336,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_045,mechanics,nongoverning_distractor,6.0 m/s,1.65625,1,0.4927752391224972,18,resid_post_last_prompt,0.6920370037350417,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
