model_id,canonical_family_id,domain,cue_type,S_lp,S_lp_binary,primary_monitor_score,monitor_layer,causal_site,intervention_effect,source_experiment_ids,S_lp_null_reason,monitor_null_reason,causal_null_reason
qwen_primary,CM_B_UM_054,electrostatics_circuits,nongoverning_distractor,0.875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_055,mechanics,nongoverning_distractor,5.171875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_056,mechanics,nongoverning_distractor,0.6640625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_057,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_058,mechanics,nongoverning_distractor,0.53125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_059,mechanics,nongoverning_distractor,10.03125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_060,mechanics,nongoverning_distractor,0.46875,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_061,mechanics,nongoverning_distractor,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_B_UM_062,mechanics,nongoverning_distractor,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_B_UM_063,mechanics,nongoverning_distractor,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_001,mechanics,frame_rendering,4.40625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_C_002,mechanics,frame_rendering,6.78125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_C_003,mechanics,frame_rendering,6.546875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_C_004,electrostatics_circuits,frame_rendering,13.546875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_C_005,mechanics,frame_rendering,13.828125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_C_006,electrostatics_circuits,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_007,thermodynamics,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_008,electrostatics_circuits,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_009,electrostatics_circuits,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_010,electrostatics_circuits,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_011,electrostatics_circuits,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_012,mechanics,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_013,mechanics,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_014,electrostatics_circuits,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,CM_C_015,thermodynamics,frame_rendering,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,EL_A_001,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,EL_A_002,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,EL_A_003,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,EL_A_004,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,EL_A_005,electrostatics_circuits,irrelevant_variable,0.0625,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,EL_B_001,electrostatics_circuits,nongoverning_distractor,1.890625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,EL_B_002,electrostatics_circuits,nongoverning_distractor,2.8203125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,EL_B_003,electrostatics_circuits,nongoverning_distractor,1.015625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,EL_B_004,electrostatics_circuits,nongoverning_distractor,1.375,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,EL_B_005,electrostatics_circuits,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_001,thermodynamics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_002,thermodynamics,nongoverning_distractor,0.140625,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_003,thermodynamics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_004,thermodynamics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_005,thermodynamics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_006,thermodynamics,nongoverning_distractor,3.40625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_007,thermodynamics,nongoverning_distractor,2.21875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_008,thermodynamics,nongoverning_distractor,2.890625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_009,thermodynamics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_010,thermodynamics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,TH_B_UM_011,thermodynamics,nongoverning_distractor,,,,,,,,source_missing,not_measured,not_measured
qwen_primary,TH_B_UM_012,thermodynamics,nongoverning_distractor,,,,,,,,source_missing,not_measured,not_measured
llama_primary,CM_A_001,mechanics,irrelevant_variable,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_002,mechanics,irrelevant_variable,0.15625,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_003,mechanics,irrelevant_variable,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_004,mechanics,irrelevant_variable,0.40625,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_005,mechanics,irrelevant_variable,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_006,mechanics,irrelevant_variable,0.046875,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_007,mechanics,irrelevant_variable,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_008,mechanics,irrelevant_variable,0.21875,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_009,mechanics,irrelevant_variable,0.578125,1,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_010,mechanics,irrelevant_variable,0.140625,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_001,mechanics,irrelevant_variable,0.03125,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_002,mechanics,irrelevant_variable,0.21875,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_003,mechanics,irrelevant_variable,0.046875,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_004,mechanics,irrelevant_variable,1.328125,1,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_005,mechanics,irrelevant_variable,0.28125,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_006,mechanics,irrelevant_variable,0.53125,1,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_007,mechanics,irrelevant_variable,0.1875,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_008,mechanics,irrelevant_variable,0.109375,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_009,mechanics,irrelevant_variable,1.921875,1,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_010,mechanics,irrelevant_variable,0.15625,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_011,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_012,electrostatics_circuits,irrelevant_variable,0.390625,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_013,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_014,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_015,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_016,electrostatics_circuits,irrelevant_variable,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_017,thermodynamics,irrelevant_variable,6.203125,1,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_018,thermodynamics,irrelevant_variable,0.296875,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_019,thermodynamics,irrelevant_variable,0.03125,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_A_STD_020,thermodynamics,irrelevant_variable,0.46875,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_B_001,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_B_002,mechanics,nongoverning_distractor,0.03125,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_B_003,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
llama_primary,CM_B_004,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_llama_behavioural_full_rerun,,not_measured,not_measured
