template_id,domain,cue_type,governing_law,stage6_class,qwen_hat_S_raw,qwen_hat_S,llama_hat_S_raw,llama_hat_S,qwen_parse_ok,llama_parse_ok,both_sensitive,notes,qwen_S_lp,llama_S_lp
CM_B_UM_025,electrostatics_circuits,nongoverning_distractor,terminal_voltage,voltage_voltage,0.5,0.5,0.5,0.5,True,True,True,,1.65625,0.0
CM_B_UM_026,electrostatics_circuits,nongoverning_distractor,potential_divider,voltage_voltage,0.5,0.5,0.5,0.5,True,True,True,,0.0,0.1640625
CM_B_UM_027,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.71875,0.0
CM_B_UM_028,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_029,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.140625
CM_B_UM_030,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.3125,0.375
CM_B_UM_031,mechanics,nongoverning_distractor,torque_from_perpendicular_force,torque_torque,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_032,mechanics,nongoverning_distractor,spring_mass_frequency,frequency_frequency,1.0,1.0,0.0,0.0,True,True,False,,5.5625,1.875
CM_B_UM_033,mechanics,nongoverning_distractor,pendulum_frequency,frequency_frequency,0.5,0.5,0.5,0.5,True,True,True,,4.53125,0.078125
CM_B_UM_034,mechanics,nongoverning_distractor,spring_mass_frequency,frequency_frequency,0.5,0.5,0.0,0.0,True,True,False,,2.15625,1.6875
CM_B_UM_035,mechanics,nongoverning_distractor,pendulum_frequency,frequency_frequency,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,,0.0,0.0
CM_B_UM_036,mechanics,nongoverning_distractor,wave_frequency,frequency_frequency,0.5,0.5,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_037,electrostatics_circuits,nongoverning_distractor,capacitor_charge,charge_charge,0.0,0.0,0.5,0.5,True,True,False,,0.0,0.125
CM_B_UM_038,electrostatics_circuits,nongoverning_distractor,capacitor_charge,charge_charge,0.5,0.5,0.5,0.5,True,True,True,,1.8125,1.046875
CM_B_UM_039,electrostatics_circuits,nongoverning_distractor,capacitor_charge,charge_charge,0.5,0.5,0.0,0.0,True,True,False,,0.375,0.0
CM_B_UM_040,electrostatics_circuits,nongoverning_distractor,capacitor_charge,charge_charge,0.0,0.0,0.0,0.0,True,True,False,,0.75,0.0
CM_B_UM_041,mechanics,nongoverning_distractor,momentum_transfer_velocity,,0.0,0.0,0.0,0.0,True,True,False,,0.203125,0.0
CM_B_UM_042,mechanics,nongoverning_distractor,relative_velocity_difference,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.2890625
CM_B_UM_043,mechanics,nongoverning_distractor,escape_speed_simplified,,0.8333333333333334,0.8333333333333334,1.0,1.0,True,True,True,,1.71875,1.21875
CM_B_UM_044,mechanics,nongoverning_distractor,projectile_vertical_component,,0.0,0.0,0.0,0.0,True,True,False,,0.140625,0.0
CM_B_UM_045,mechanics,nongoverning_distractor,elastic_collision_equal_mass,,0.0,0.0,0.5,0.5,True,True,False,,1.65625,0.375
CM_B_UM_046,mechanics,nongoverning_distractor,rolling_without_slip,,0.0,0.0,1.0,1.0,True,True,False,,0.390625,0.0
CM_B_UM_047,mechanics,nongoverning_distractor,ramp_energy_speed,,0.5,0.5,1.0,1.0,True,True,True,,2.0,5.21875
CM_B_UM_048,mechanics,nongoverning_distractor,center_of_mass_velocity,,0.0,0.0,0.8333333333333334,0.8333333333333334,True,True,False,,0.0,0.203125
CM_B_UM_049,mechanics,nongoverning_distractor,spring_mass_frequency,,0.0,0.0,0.0,0.0,True,True,False,,1.90625,0.0
CM_B_UM_050,mechanics,nongoverning_distractor,spring_mass_frequency,,1.0,1.0,0.0,0.0,True,True,False,,2.09375,0.0
CM_B_UM_051,mechanics,nongoverning_distractor,pendulum_frequency,,1.0,1.0,0.8333333333333334,0.8333333333333334,False,True,True,qwen_degraded,0.0,0.0
CM_B_UM_052,mechanics,nongoverning_distractor,pendulum_frequency,,0.6666666666666666,0.6666666666666666,0.5,0.5,False,True,True,qwen_degraded,4.921875,2.171875
CM_B_UM_053,mechanics,nongoverning_distractor,spring_mass_frequency,,0.8333333333333334,0.8333333333333334,0.0,0.0,True,True,False,,0.0,0.109375
CM_B_UM_054,electrostatics_circuits,nongoverning_distractor,lc_resonance_frequency,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,True,True,True,,0.875,0.0
CM_B_UM_055,mechanics,nongoverning_distractor,pendulum_frequency,,0.8333333333333334,0.8333333333333334,0.5,0.5,True,True,True,,5.171875,0.546875
CM_B_UM_056,mechanics,nongoverning_distractor,string_fundamental_frequency,,0.5,0.5,0.5,0.5,True,True,True,,0.6640625,0.0
CM_B_UM_057,mechanics,nongoverning_distractor,torque_magnitude,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_058,mechanics,nongoverning_distractor,torque_magnitude,,0.0,0.0,0.0,0.0,True,True,False,,0.53125,0.0
CM_B_UM_059,mechanics,nongoverning_distractor,torque_magnitude,,0.8333333333333334,0.8333333333333334,0.0,0.0,True,True,False,,10.03125,2.0
CM_B_UM_060,mechanics,nongoverning_distractor,torque_magnitude,,0.0,0.0,0.0,0.0,True,True,False,,0.46875,0.0
CM_C_001,mechanics,frame_rendering,unit_rendering_velocity,,0.0,0.0,0.0,0.0,True,True,False,,4.40625,0.46875
CM_C_002,mechanics,frame_rendering,unit_rendering_force,,0.6666666666666666,0.6666666666666666,0.5,0.5,False,True,True,qwen_degraded,6.78125,5.078125
CM_C_003,mechanics,frame_rendering,unit_rendering_energy,,0.0,0.0,0.0,0.0,True,True,False,,6.546875,0.0
CM_C_004,electrostatics_circuits,frame_rendering,unit_rendering_power,,0.0,0.0,0.0,0.0,False,True,False,qwen_degraded,13.546875,3.25
CM_C_005,mechanics,frame_rendering,unit_rendering_frequency,,0.0,0.0,0.0,0.0,True,True,False,,13.828125,1.890625
EL_A_001,electrostatics_circuits,irrelevant_variable,ohms_law_voltage,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.609375
EL_A_002,electrostatics_circuits,irrelevant_variable,power_dissipation_i_squared_r,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
EL_A_003,electrostatics_circuits,irrelevant_variable,capacitor_charge,,0.0,0.0,0.5,0.5,True,True,False,,0.0,0.1875
EL_A_004,electrostatics_circuits,irrelevant_variable,coulombs_law,,0.5,0.5,0.5,0.0,True,True,False,llama_degraded_calculation_error,0.0,0.484375
EL_A_005,electrostatics_circuits,irrelevant_variable,electric_field_point_charge,,0.0,0.0,0.0,0.0,True,True,False,,0.0625,0.0
EL_B_001,electrostatics_circuits,nongoverning_distractor,ohms_law_voltage,,0.0,0.0,0.0,0.0,True,True,False,,1.890625,0.71875
EL_B_002,electrostatics_circuits,nongoverning_distractor,power_from_voltage_and_resistance,,0.0,0.0,0.0,0.0,True,True,False,,2.8203125,0.0625
EL_B_003,electrostatics_circuits,nongoverning_distractor,capacitor_charge,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,True,True,,1.015625,0.0
EL_B_004,electrostatics_circuits,nongoverning_distractor,coulombs_law,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,True,True,True,,1.375,0.125
EL_B_005,electrostatics_circuits,nongoverning_distractor,electric_field_point_charge,,0.0,0.0,0.8333333333333334,0.8333333333333334,True,True,False,,0.0,0.0
TH_B_UM_001,thermodynamics,nongoverning_distractor,heat_capacity,,0.5,0.5,0.5,0.5,True,True,True,,0.0,0.09375
TH_B_UM_002,thermodynamics,nongoverning_distractor,heat_capacity,,0.0,0.0,0.0,0.0,True,True,False,,0.140625,0.921875
TH_B_UM_003,thermodynamics,nongoverning_distractor,heat_capacity,,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,True,True,True,,0.0,1.75
TH_B_UM_004,thermodynamics,nongoverning_distractor,work_force_displacement,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
TH_B_UM_005,thermodynamics,nongoverning_distractor,work_force_displacement,,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
TH_B_UM_006,thermodynamics,nongoverning_distractor,ideal_gas_pressure,,1.0,1.0,1.0,1.0,False,True,True,qwen_degraded,3.40625,0.0
TH_B_UM_007,thermodynamics,nongoverning_distractor,ideal_gas_pressure,,0.0,0.0,1.0,1.0,True,True,False,,2.21875,0.265625
TH_B_UM_008,thermodynamics,nongoverning_distractor,ideal_gas_pressure,,1.0,1.0,1.0,1.0,True,True,True,,2.890625,0.984375
TH_B_UM_009,thermodynamics,nongoverning_distractor,thermal_expansion_length_change,,1.0,1.0,0.0,0.0,False,True,False,qwen_degraded,0.0,0.09375
TH_B_UM_010,thermodynamics,nongoverning_distractor,thermal_expansion_length_change,,,,0.0,0.0,False,True,False,qwen_degraded,0.0,0.0
